resName1
CO,76
CU,147
CU1,21
FE,102
FE2,36
FEO,5
FES,29
MG,922
MN,222
MOO,5
MOS,3
NI,157
ZN,2260
resName1,1
PDB Classification
"APOPTOSIS,1
"CELL,3
"CONTRACTILE,2
"CYTOKINE,1
"DNA,1
"ENDOCYTOSIS/EXOCYTOSIS,2
"Flurorescent,1
"GENE,1
"HYDROLASE,5
"Hydrolase,1
"IMMUNE,2
"LIGASE,1
"LYASE,1
"MEMBRANE,4
"METAL,3
"METAL,1
"Membrane,2
"ONCOPROTEIN,1
"OXIDOREDUCTASE,3
"Oxidoreductase,1
"Oxygen,1
"PROTEIN,2
"PROTEIN,1
"Peptide,1
"RECOMBINATION,1
"REPLICATION,1
"SIGNALING,5
"STRUCTURAL,87
"STRUCTURAL,1
"SUGAR,1
"Signaling,1
"Structural,14
"Structural,4
"Structural,2
"TRANSCRIPTION,4
"TRANSFERASE,3
"VIRAL,2
"structural,13
